AAL,AmericanAirlines
ADI,AnalogDevicesInc
ADP,ADP
ADSK,Autodesk
ALGN,AlignTechnology
ALXN,AlexionPharmaceuticals
AMAT,AppliedMaterials
ASML,ASML
ATVI,ActivisionBlizzard
BIDU,Baidu
BMRN,BioMarin
CA,CAInc
CDNS,CadenceDesignSystems
CERN,Cerner
CHKP,CheckPointLtd
CSX,CSXCorporation
CTAS,CintasCorp
CTRP,ctrip
CTSH,CognizantTechnology
CTXS,Citrix
DISH,DishNetwork
DLTR,DollarTree
EA,ElectronicArts
EBAY,eBay
ESRX,ExpressScripts
EXPE,Expedia
FAST,Fastenal
FISV,Fiserv
HAS,Hasbro
HOLX,Hologic
HSIC,HenrySchein
IDXX,IDEXX
ILMN,Illumina
INCY,IncyteCorp
INTU,Intuit
ISRG,IntuitiveSurgical
JBHT,JBHunt
JD,JD.com
KLAC,KLATencor
LBTYA,LibertyGlobal
LBTYK,LibertyGlobal
LRCX,LamResearch
LVNTA,LibertyVentures
MAR,MarriottInternational
MCHP,MicrochipTechnology
MELI,MercadoLibre
MNST,Monste Beverage
MU,MicronTechnology
MXIM,MaximIntegrated
MYL,Mylan
NTES,NetEase
ORLY,OReillyAutoParts
PAYX,Paychex
PCAR,PACCAR
QVCA,LibertyInteractive
REGN,Regeneron
ROST,RossStores
SHPG,ShirePLC
SIRI,SiriusXM
SNPS,Synopsys
STX,Seagate
SWKS,Skyworks
SYMC,Symantec
TMUS,TMobileUS
TSLA,TeslaMotors
TTWO,TakeTwoInteractive
ULTA,Ulta
VOD,Vodafone
VRSK,Verisk
VRTX,VertexPharma
WDAY,WorkDayInc
WDC,WesternDigital
WYNN,WynnResorts
XLNX,Xilinx
XRAY,DENTSPLY
FDX,fedex
MON,monsanto
SO,southernco
F,fordmotorcompany
BK,bnymellon
OXY,occidentalpetroleum
AMT,americantower
KMI,kindermorgan
SYK,strykercorp
PRU,prudential
D,dominionenergy
KMB,kimberlyclark
ITW,illinoistoolworks
AET,aetna
HAL,halliburton
RTN,raytheon
COF,capitalone
ANTM,antheminc
YHOO,yahoo
NOC,northropgrumman
CME,cmegroup
CCL,carnivalcorp
PSX,phillips66
PSA,publicstorage
BDX,bectondickinson
CI,cigna
JCI,johnsoncontrols
EMR,emersonelectric
BBT,bbtbank
HPE,hewlettpackard
MMC,marshmclennan
LYB,lyondellbasell
ECL,ecolab
NSC,norfolksouthern
APC,anadarkopetroleum
DE,johndeere
LUV,southwestairlines
GIS,generalmills
DAL,deltairlines
TRV,travelersinsurance
PX,praxair
SPGI,spglobal
PCG,pgecorp
EXC,exelon
BSX,bostonscientific
CCI,crowncastle
PXD,pioneernaturalresources
AEP,americanelectricpower
HUM,humana
ETN,eatoncorp
HCA,hcahealthcare
WM,wmcares
MCK,mckesson
STZ,constellationbrands
TGT,target
STT,statestreet
APD,airproducts
AON,aonplc
EL,esteelauder
ALL,allstate
VLO,valeroenergy
HPQ,hewlettpackard
STI,suntrust
AFL,aflacinc
SYF,synchronybank
SHW,sherwinwilliams
SYY,sysco
CBS,cbs
SRE,sempra
BAX,baxterinternational
DFS,discoverfinancial
FIS,fisglobal
EQIX,equinix
PLD,prologis
KR,jroger
MPC,marathongas
TEL,teconnectivity
ZTS,zoetis
K,kelloggs
PPG,ppgindustries
EIX,edisoninternational
GLW,corning
MTB,mtbank
CAH,cardinalhealth
CMI,cumminsinc
ADM,archerdaniels
BHI,bakerhughes
AVB,avalonbay
WY,weyerhaeuser
PPL,pplelectric
HCN,welltower
WMB,williamscompanies
BEN,franklinresources
ZBH,zimmerbiomet
NWL,newellbrands
ED,conedison
HSY,hersheys
EQR,equityresidential
DVN,devonenergy
UAL,unitedairlines
PGR,progressiveinsurance
PEG,pseg
TSN,tysonfoods
YUM,yumbrands
XEL,xcelenergy
VTR,ventasinc
VFC,vfcorp
APH,amphenol
ROP,roperindustries
MCO,moodys
IP,internationalpaper
GGP,generalgrowth
RSG,republicservices
PH,parkerhannifin
BXP,bostonproperties
TAP,molsoncoors
IR,ingersollrand
FITB,fifththirdbank
DLPH,aptiv
VNO,vornadorealtytrust
AMP,ameriprise
RCL,royalcaribbean
AZO,autozone
NTRS,northertrust
KEY,keybank
FTV,fortive
LVLT,level3communications
ROK,rockwellautomation
OMC,omnicom
DG,dollargeneral
SWK,blackanddecker
APA,apachecorporation
NUE,nucor
CXO,conchoresources
CFG,citizensbank
EW,edwardslifesciences
ABC,amerisourcebergen
WEC,wecenergygroup
ES,eversource
HRL,hormelfoods
RF,regionsbank
FCX,freeportmcmoran
DTE,dteenergy
PFG,principalfinancialgroup
CPB,campbells
HIG,thehartford
CAG,conagra
BCR,crbard
CLX,clorox
NEM,newmont
WLTW,willistowerswatson
TROW,troweprice
DPS,drpepper
DLR,digitalrealty
VIAB,viacom
MHK,mohawkgroup
A,agilent
DISCA,discoverychannel
SJM,smuckers
MJN,meadjohnson
L,loewscorp
DISCK,discoverychannel
NLSN,nielsencompany